Name,Status,Link,Presentation,Availability,Related,Reason
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets detail"">Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets</a>","Amphetamine Mixed Salts Tablets C-II 5 mg, 100 (NDC 13107-0068-01)",Available,,Demand increase for the drug
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets detail"">Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets</a>","Amphetamine Mixed Salts Tablets C-II 10 mg, 100 (NDC 13107-0070-01)",Available,,Demand increase for the drug
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets detail"">Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets</a>","Amphetamine Mixed Salts Tablets C-II 15 mg, 100 (NDC 13107-0072-01)",Available,,Demand increase for the drug
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets detail"">Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets</a>","Amphetamine Mixed Salts Tablets C-II 20 mg, 100 (NDC 13107-0073-01)",Available,,Demand increase for the drug
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets detail"">Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets</a>","Amphetamine Mixed Salts Tablets C-II 30 mg, 100 (NDC 13107-0074-01)",Available,,Demand increase for the drug
Anagrelide Hydrochloride Capsules,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Anagrelide Hydrochloride Capsules&amp;st=c&amp;tab=tabs-1"" title=""Link to Anagrelide Hydrochloride Capsules detail"">Anagrelide Hydrochloride Capsules</a>","AGRYLIN 0.5 mg Capsule,100 capsules in 1 bottle (NDC 54092-063-01)",Available,Takeda is actively working to mitigate a recent unexpected increase in demand for the product.,Demand increase for the drug
Asparaginase Erwinia Chrysanthemi (Erwinaze),Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Asparaginase Erwinia Chrysanthemi (Erwinaze)&amp;st=c&amp;tab=tabs-1"" title=""Link to Asparaginase Erwinia Chrysanthemi (Erwinaze) detail"">Asparaginase Erwinia Chrysanthemi (Erwinaze)</a>","ERWINAZE 10,000 IU lyophilized powder supplied in a clear 3 mL glass vial 5 vial carton (NDC 57902-249-05)",Out of stock.  For further information and to sign up for supply alerts by Jazz Pharmaceuticals please visit Erwinazesupply.com https://erwinazesupply.com/,Dear Health Care Provider Letter,Other
Asparaginase Erwinia Chrysanthemi (Erwinaze),Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Asparaginase Erwinia Chrysanthemi (Erwinaze)&amp;st=c&amp;tab=tabs-1"" title=""Link to Asparaginase Erwinia Chrysanthemi (Erwinaze) detail"">Asparaginase Erwinia Chrysanthemi (Erwinaze)</a>","ERWINAZE 10,000 IU lyophilized powder supplied in a clear 3 mL glass vial 1 vial (NDC 57902-249-01)",Out of stock.  For further information and to sign up for supply alerts by Jazz Pharmaceuticals please visit Erwinazesupply.com https://erwinazesupply.com/,Dear Health Care Provider Letter,Other
Atropine Sulfate Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Atropine Sulfate Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Atropine Sulfate Injection detail"">Atropine Sulfate Injection</a>","0.4 mg/mL, 1 mL single-dose vial, package of 25
(NDC 00517-0401-25)",Limited Availability,"American Regent is currently releasing the 0.4mg/mL, 1 mL vial, NDC 00517-0401-25",Demand increase for the drug
Atropine Sulfate Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Atropine Sulfate Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Atropine Sulfate Injection detail"">Atropine Sulfate Injection</a>","1 mg/mL, 1 mL single-dose vial, package of 25 (NDC 00517-1010-25)",Limited Availability,"American Regent is currently releasing the 1mg/mL, 1 mL vial, (NDC 00517-1010-25)",Other
Atropine Sulfate Ophthalmic Ointment,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Atropine Sulfate Ophthalmic Ointment&amp;st=c&amp;tab=tabs-1"" title=""Link to Atropine Sulfate Ophthalmic Ointment detail"">Atropine Sulfate Ophthalmic Ointment</a>","1% (10 mg/g), 3.5 g tube (NDC 24208-825-55)",Availability limited to product already in pharmacies until resumption of manufacturing in January 2020 and distribution in February 2020,Currently qualifying alternate supplier of inactive ingredient,Shortage of an inactive ingredient
"AVYCAZ® (ceftazidime and avibactam) for Injection, 2 grams/0.5 grams",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=AVYCAZ® (ceftazidime and avibactam) for Injection, 2 grams/0.5 grams&amp;st=c&amp;tab=tabs-1"" title=""Link to AVYCAZ® (ceftazidime and avibactam) for Injection, 2 grams/0.5 grams detail"">AVYCAZ® (ceftazidime and avibactam) for Injection, 2 grams/0.5 grams</a>","2 g/1, .5 g/1 powder for solution 1 Single-use vials (NDC 0456-2700-01)",Currently unavailable.  Duration of the shortage is yet to be determined.,,Other
"AVYCAZ® (ceftazidime and avibactam) for Injection, 2 grams/0.5 grams",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=AVYCAZ® (ceftazidime and avibactam) for Injection, 2 grams/0.5 grams&amp;st=c&amp;tab=tabs-1"" title=""Link to AVYCAZ® (ceftazidime and avibactam) for Injection, 2 grams/0.5 grams detail"">AVYCAZ® (ceftazidime and avibactam) for Injection, 2 grams/0.5 grams</a>","2 g/1, .5 g/1 powder for solution Carton containing 10 vials  (NDC 0456-2700-10)",Currently unavailable.  Duration of the shortage is yet to be determined.,,Other
Azithromycin (Azasite) Ophthalmic Solution 1%,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Azithromycin (Azasite) Ophthalmic Solution 1per&amp;st=r&amp;tab=tabs-1"" title=""Link to Azithromycin (Azasite) Ophthalmic Solution 1% detail"">Azithromycin (Azasite) Ophthalmic Solution 1%</a>",,,,
Azithromycin Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Azithromycin Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Azithromycin Tablets detail"">Azithromycin Tablets</a>",250 mg bottles of 30 (NDC 62332-251-30),Available,,Other
Azithromycin Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Azithromycin Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Azithromycin Tablets detail"">Azithromycin Tablets</a>",250 mg carton of 3 blister cards (6 tablets per blister card) (NDC 62332-251-06),Launch in June 2020,,Other
Azithromycin Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Azithromycin Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Azithromycin Tablets detail"">Azithromycin Tablets</a>",500 mg bottle of 30 (NDC 62332-252-30),Available,,Other
Azithromycin Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Azithromycin Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Azithromycin Tablets detail"">Azithromycin Tablets</a>",500 mg carton of 3 blister cards (3 tablets per blister card) (NDC 62332-252-03),Launch in June 2020,,Other
Bacitracin Ophthalmic Ointment,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bacitracin Ophthalmic Ointment&amp;st=r&amp;tab=tabs-1"" title=""Link to Bacitracin Ophthalmic Ointment detail"">Bacitracin Ophthalmic Ointment</a>",,,,
Belatacept (Nulojix) Lyophilized Powder for Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Belatacept (Nulojix) Lyophilized Powder for Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Belatacept (Nulojix) Lyophilized Powder for Injection detail"">Belatacept (Nulojix) Lyophilized Powder for Injection</a>",20cc vial 250mg lyophilized powder per vial for IV infusion (NDC 0003-0371-13),"No disruption to existing patients is anticipated. Until further notice, BMS will continue to limit distribution of NULOJIX via the US NULOJIX Distribution Program, initiated 15-Feb-2017. Starting in August 2018, the restrictions of the NDP will be eased to allow for expansion of use to appropriate new patients if the treating physician determines that Nulojix is the best treatment option for the patient.  For further information, contact BMS Medical Information.",Increased demand for the drug exacerbated by a delay in transition to a more efficient manufacturing process.,Demand increase for the drug
"Bumetanide Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bumetanide Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bumetanide Injection, USP detail"">Bumetanide Injection, USP</a>","0.25 mg/mL, 4 mL vial (NDC 0641-6008-10)",This presentation is temporarily on backorder.,Additional lots will be scheduled for manufacturing in the May - June 2020 timeframe.  Product will be made available as it is released.,Demand increase for the drug
"Bumetanide Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bumetanide Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bumetanide Injection, USP detail"">Bumetanide Injection, USP</a>","0.25 mg/mL, 10 mL vial (NDC 0641-6007-10)",This presentation is temporarily on backorder.,Additional lots will be scheduled for manufacturing in the May - June 2020 timeframe.  Product will be made available as it is released.,Demand increase for the drug
"Bupivacaine Hydrochloride and Epinephrine Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride and Epinephrine Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride and Epinephrine Injection, USP detail"">Bupivacaine Hydrochloride and Epinephrine Injection, USP</a>",Sensorcaine w/EPI 0.25% (125 mg per 50 mL) (2.5 mg per mL) MDV (NDC 63323-461-57),Available,Check wholesalers for inventory.,Demand increase for the drug
"Bupivacaine Hydrochloride and Epinephrine Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride and Epinephrine Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride and Epinephrine Injection, USP detail"">Bupivacaine Hydrochloride and Epinephrine Injection, USP</a>",Sensorcaine w/EPI 0.5% (250 mg per 50 mL) (5 mg per mL) MDV (NDC 63323-463-57),Available,Check wholesalers for inventory.,Demand increase for the drug
"Bupivacaine Hydrochloride and Epinephrine Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride and Epinephrine Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride and Epinephrine Injection, USP detail"">Bupivacaine Hydrochloride and Epinephrine Injection, USP</a>",Sensorcaine MPF w/EPI 0.25% (25 mg per 10 mL) (2.5 mg per mL) SDV (NDC 63323-468-17),Backordered. Next release June 2020.,Check wholesalers for inventory.,Demand increase for the drug
"Bupivacaine Hydrochloride and Epinephrine Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride and Epinephrine Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride and Epinephrine Injection, USP detail"">Bupivacaine Hydrochloride and Epinephrine Injection, USP</a>",Sensorcaine MPF w/EPI .25% (75 mg per 30 mL) (2.5 mg per mL) SDV (NDC 63323-468-37),Backordered. Next release June 2020.,Check wholesalers for inventory.,Demand increase for the drug
"Bupivacaine Hydrochloride and Epinephrine Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride and Epinephrine Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride and Epinephrine Injection, USP detail"">Bupivacaine Hydrochloride and Epinephrine Injection, USP</a>",Sensorcaine MPF w/EPI 0.5% (50 mg per 10 mL) (5 mg per mL) SDV (NDC 63323-462-17),Backordered. Next release June 2020.,Check wholesalers for inventory.,Demand increase for the drug
"Bupivacaine Hydrochloride and Epinephrine Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride and Epinephrine Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride and Epinephrine Injection, USP detail"">Bupivacaine Hydrochloride and Epinephrine Injection, USP</a>",Sensorcaine MPF w/EPI 0.5% (150 mg per 30 mL) (5 mg per mL) SDV (NDC 63323-462-37),Backordered. Next release June 2020.,Check wholesalers for inventory.,Demand increase for the drug
"Bupivacaine Hydrochloride and Epinephrine Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride and Epinephrine Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride and Epinephrine Injection, USP detail"">Bupivacaine Hydrochloride and Epinephrine Injection, USP</a>","Sensorcaine MPF w/EPI 0.5% (150 mg per 30 mL) (5 mg per mL) Sterile-Pak, SDV (NDC 63323-462-31)",Backordered.  Next release date not available at this time.,,Demand increase for the drug
"Bupivacaine Hydrochloride and Epinephrine Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride and Epinephrine Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride and Epinephrine Injection, USP detail"">Bupivacaine Hydrochloride and Epinephrine Injection, USP</a>",Sensorcaine MPF w/EPI 0.75% (225 mg per 30 mL) (7.5 mg per mL)  SDV  (NDC 63323-460-37),Available,Check wholesalers for inventory.,Demand increase for the drug
"Bupivacaine Hydrochloride Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride Injection, USP detail"">Bupivacaine Hydrochloride Injection, USP</a>",0.25% 5 mL single-dose ampules (NDC 59923-717-05),Available,"Areva Pharmaceuticals Inc., in conjunction with FDA, has initiated temporary importation of Bupivacaine Hydrochloride Injection USP (Preservative free, Latex free) 0.25% and 0.5% into the US market to address drug shortage.  Importation will begin mid-September 2019.  Product is available via authorized distributors (McKesson, Cardinal Health, Amerisource Bergen) . All orders must be placed with your authorized wholesalers.  Please call Areva Pharmaceutical Customer Service at  812-399-3599,  Option # 1 or email us at customerservice@arevapharma.com if you would like drop shipments.  
    
        Dear Health Care Provider Letter",
"Bupivacaine Hydrochloride Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride Injection, USP detail"">Bupivacaine Hydrochloride Injection, USP</a>",0.25% 10 mL single-dose ampules (NDC 59923-719-10),Available,"Areva Pharmaceuticals Inc., in conjunction with FDA, has initiated temporary importation of Bupivacaine Hydrochloride Injection USP (Preservative free, Latex free) 0.25% and 0.5% into the US market to address drug shortage.  Importation will begin mid-September 2019.  Product is available via authorized distributors (McKesson, Cardinal Health, Amerisource Bergen) . All orders must be placed with your authorized wholesalers.  Please call Areva Pharmaceutical Customer Service at  812-399-3599,  Option # 1 or email us at customerservice@arevapharma.com if you would like drop shipments.  
    
        Dear Health Care Provider Letter",
"Bupivacaine Hydrochloride Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride Injection, USP detail"">Bupivacaine Hydrochloride Injection, USP</a>",0.5% 5 mL single-dose ampules (NDC 59923-718-05),Available,"Areva Pharmaceuticals Inc., in conjunction with FDA, has initiated temporary importation of Bupivacaine Hydrochloride Injection USP (Preservative free, Latex free) 0.25% and 0.5% into the US market to address drug shortage.  Importation will begin mid-September 2019.  Product is available via authorized distributors (McKesson, Cardinal Health, Amerisource Bergen) . All orders must be placed with your authorized wholesalers.  Please call Areva Pharmaceutical Customer Service at  812-399-3599,  Option # 1 or email us at customerservice@arevapharma.com if you would like drop shipments.  
    
        Dear Health Care Provider Letter",
"Bupivacaine Hydrochloride Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Bupivacaine Hydrochloride Injection, USP detail"">Bupivacaine Hydrochloride Injection, USP</a>",0.5% 10 mL single-dose ampules (NDC 59923-720-10),Available,"Areva Pharmaceuticals Inc., in conjunction with FDA, has initiated temporary importation of Bupivacaine Hydrochloride Injection USP (Preservative free, Latex free) 0.25% and 0.5% into the US market to address drug shortage.  Importation will begin mid-September 2019.  Product is available via authorized distributors (McKesson, Cardinal Health, Amerisource Bergen) . All orders must be placed with your authorized wholesalers.  Please call Areva Pharmaceutical Customer Service at  812-399-3599,  Option # 1 or email us at customerservice@arevapharma.com if you would like drop shipments.  
    
        Dear Health Care Provider Letter",
Buspirone HCl Tablets,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Buspirone HCl Tablets&amp;st=r&amp;tab=tabs-1"" title=""Link to Buspirone HCl Tablets detail"">Buspirone HCl Tablets</a>",,,,
Calcitriol Injection USP 1MCG /ML,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Calcitriol Injection USP 1MCG /ML&amp;st=c&amp;tab=tabs-1"" title=""Link to Calcitriol Injection USP 1MCG /ML detail"">Calcitriol Injection USP 1MCG /ML</a>","Calcitriol Injection USP, 1 mcg/mL, 1 mL ampule  (NDC 17478-931-01)",Available,,Other
"Calcium Chloride Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Calcium Chloride Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Calcium Chloride Injection, USP detail"">Calcium Chloride Injection, USP</a>","10% Calcium Chloride Injection, USP, 1 gram/10mL (100mg/mL), single dose vial, (NDC 0517-6710-01)",Available,,Requirements related to complying with good manufacturing practices
"Capreomycin Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Capreomycin Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Capreomycin Injection, USP detail"">Capreomycin Injection, USP</a>","Capastat Sulfate (Capreomycin for Injection USP) Eq to 1 g Capreomycin activity, 10mL (NDC 17478-080-50)",Available,,Delay in shipping of the drug
Carbidopa and Levodopa Extended Release Tablets,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Carbidopa and Levodopa Extended Release Tablets&amp;st=r&amp;tab=tabs-1"" title=""Link to Carbidopa and Levodopa Extended Release Tablets detail"">Carbidopa and Levodopa Extended Release Tablets</a>",,,,
"Carisoprodol Tablets, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Carisoprodol Tablets, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Carisoprodol Tablets, USP detail"">Carisoprodol Tablets, USP</a>",100’s count bottle (NDC 00603-2582-21),Endo has made a business decision to permanently discontinue Carisoprodol 350mg tablets.,Link to Discontinuation,
"Carisoprodol Tablets, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Carisoprodol Tablets, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Carisoprodol Tablets, USP detail"">Carisoprodol Tablets, USP</a>",500's count bottle (NDC 00603-2582-28),Endo has made a business decision to permanently discontinue Carisoprodol 350mg tablets.,Link to Discontinuation,
"Carisoprodol Tablets, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Carisoprodol Tablets, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Carisoprodol Tablets, USP detail"">Carisoprodol Tablets, USP</a>",100's count bottle (NDC 00603-2582-32),Endo has made a business decision to permanently discontinue Carisoprodol 350mg tablets.,Link to Discontinuation,
Cefazolin Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefazolin Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefazolin Injection detail"">Cefazolin Injection</a>",Cefazolin for Injection 1 g (25 vials) (NDC 60505-6142-05),Available,,
Cefazolin Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefazolin Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefazolin Injection detail"">Cefazolin Injection</a>",Cefazolin for Injection 10 g (10 vials) (NDC 60505-6143-04),Available,,
Cefepime Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefepime Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefepime Injection detail"">Cefepime Injection</a>",Cefepime for Injection 1 g (10 vials) (NDC 60505-6146-04),"Available, On Allocation",Increased demand,
Cefepime Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefepime Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefepime Injection detail"">Cefepime Injection</a>",Cefepime for Injection 1 g (1 vial) (NDC 60505-6146-00),"Available, On Allocation",Increased demand,
Cefepime Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefepime Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefepime Injection detail"">Cefepime Injection</a>",Cefepime for Injection 2 g (10 vials) (NDC 60505-6147-04),"Available, On Allocation",Increased demand,
Cefepime Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefepime Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefepime Injection detail"">Cefepime Injection</a>",Cefepime for Injection 2 g (1 vial) (NDC 60505-6147-00),"Available, On Allocation",Increased demand,
Cefotaxime Sodium Injection,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Cefotaxime Sodium Injection&amp;st=c&amp;tab=tabs-1"" title=""Link to Cefotaxime Sodium Injection detail"">Cefotaxime Sodium Injection</a>","2g/vial, (NDC 21586-012-2)",Available,"Apollo in conjunction with FDA has initiated a temporary importation of Cefotaxime sodium for Injection, BP into the U.S. market to address drug shortage. To place an order, please contact FFF Enterprises at 1-800-843-7477 
    
        Dear Healthcare Professional Letter",Other
